ticker,timeframe,divergence_type,signal_date,entry_date,entry_price,initial_shares,initial_capital,total_pnl,total_pnl_pct,num_exits,days_in_trade,result
MSFT,1d,Bearish,2021-11-19,2021-11-22,339.83,2.9426,1000.0,0.0,0.0,1,24,Breakeven
CDNS,1w,Bearish,2021-11-21,2021-11-28,178.36,5.6066,1000.0,-50.0,-5.0,1,1,Loss
MSFT,1w,Bearish,2021-11-21,2021-11-28,329.68,3.0332,1000.0,141.21,14.12,2,103,Win
JCI,1w,Bearish,2021-11-21,2021-11-28,77.42,12.9166,1000.0,-50.0,-5.0,1,23,Loss
COST,1d,Bearish,2021-11-29,2021-11-30,539.38,1.854,1000.0,-50.0,-5.0,1,12,Loss
BMY,3d,Bullish,2021-11-29,2021-12-02,56.32,17.7557,1000.0,186.89,18.69,3,103,Win
ILMN,3d,Bullish,2021-12-02,2021-12-05,359.37,2.7827,1000.0,-50.0,-5.0,1,1,Loss
F,3d,Bearish,2021-12-08,2021-12-11,20.43,48.9476,1000.0,-50.0,-5.0,1,15,Loss
LOW,1d,Bearish,2021-12-10,2021-12-13,257.24,3.8874,1000.0,185.75,18.58,3,104,Win
MDT,1d,Bullish,2021-12-20,2021-12-21,101.65,9.8377,1000.0,0.0,0.0,1,23,Breakeven
PFE,1w,Bearish,2021-12-19,2021-12-26,58.71,17.0329,1000.0,125.84,12.58,3,54,Win
FDS,3d,Bearish,2021-12-26,2021-12-29,486.01,2.0576,1000.0,156.99,15.7,3,105,Win
UNH,1d,Bearish,2021-12-29,2021-12-30,504.43,1.9824,1000.0,0.0,0.0,1,53,Breakeven
GNRC,1d,Bullish,2022-01-05,2022-01-06,317.39,3.1507,1000.0,-50.0,-5.0,1,8,Loss
PSA,1w,Bearish,2022-01-02,2022-01-09,355.91,2.8097,1000.0,-50.0,-5.0,1,37,Loss
EXR,1w,Bearish,2022-01-02,2022-01-09,208.45,4.7973,1000.0,65.3,6.53,2,39,Win
PAYX,1w,Bearish,2022-01-02,2022-01-09,128.84,7.7616,1000.0,74.26,7.43,2,47,Win
INVH,1w,Bearish,2022-01-02,2022-01-09,42.92,23.2992,1000.0,0.0,0.0,1,19,Breakeven
